College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
CLG0015,78,5.86,5.56,7,Yes,3,6,2,No
CLG0072,121,8.41,8.07,5,Yes,1,3,3,Yes
CLG0034,96,7.14,7.11,3,Yes,2,3,3,No
CLG0030,101,7.96,8.22,2,Yes,8,10,0,No
CLG0087,78,8.67,9.17,7,Yes,10,10,2,Yes
CLG0073,91,7.57,7.86,4,Yes,7,2,2,No
CLG0024,101,9.07,9.45,2,No,2,7,2,No
CLG0008,82,8.61,8.86,8,No,7,1,0,No
CLG0057,105,8.08,8.48,2,No,3,1,4,No
CLG0070,90,5.75,5.33,6,Yes,5,10,1,No
